n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-olesen_aigrettes	0,594492573	0,785812306	100,946	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,30594577	0,069616074	77,916	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,310041802	0,131071715	107,468	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,122500024	0,77586061	1,949	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,751345304	0,994384136	133,443	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,008171734	0,860981527	0,191	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,114315847	0,777693149	3,255	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,838485555	0,884280967	87,622	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,681021101	0,234639922	270,953	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,252715945	0,74381342	32,297	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,888768611	0,171953281	304,59	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,797561761	0,977762694	242,191	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,3508584	0,257398972	146,123	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,02439203	0,623292829	0,367	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,889274103	0,633018109	281,168	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,543997737	0,809900217	242,111	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,949340055	0,685565397	131,238	27	0,071	5,24	7,211
