File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-olesen_aigrettes_init_16.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_17.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_18.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_19.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_2.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_20.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_21.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_22.txt	4	0.334320	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_23.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_24.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_25.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_26.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_27.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_28.txt	4	0.334320	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_29.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_3.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_30.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_4.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_5.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_6.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_7.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_8.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_9.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_1.txt	5	0.566400	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_10.txt	5	0.467764	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_11.txt	5	0.612245	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_12.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_13.txt	6	0.491319	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_14.txt	6	0.492455	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_15.txt	7	0.470508	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_16.txt	6	0.756173	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_17.txt	4	0.444444	0.000000	0.000000
